,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
18,6338,SAFM,"Sanderson Farms, Inc.",Consumer Defensive,Packaged Foods,USA,3.64B,21.76,162.06,-0.63%,184181,6338,3.64B,1.09%,8.60%,11.50%,-1.20%,2.80,1.50,0.04,0.04,12.00%,5.70%,4.20%,May 27/b,162.06,-0.63%,184181,6338,3.64B,21.76,14.12,-,0.92,2.36,29.63,16.57,-142.60%,-21.28%,-16.10%,-,4.90%,162.06,-0.63%,184181,6338,3.64B,22.02M,20.13M,4.40%,-0.33%,82.20%,-2.89%,2.03%,2.31,176.88K,162.06,-0.63%,184181,6338,-0.28%,-5.53%,0.65%,14.06%,30.40%,22.59%,2.51%,2.57%,2.30,176.88K,1.04,162.06,-0.63%,184181,6338,0.66,4.44,-4.24%,-1.81%,13.81%,-8.69%,49.27%,41.28,162.06,-0.63%,-0.68%,0.05%,184181
19,6339,SAFT,"Safety Insurance Group, Inc.",Financial,Insurance - Property & Casualty,USA,1.26B,7.15,84.34,0.54%,87788,6339,1.26B,4.27%,8.70%,20.60%,14.40%,-,-,0.03,0.03,-,24.40%,20.20%,May 05/a,84.34,0.54%,87788,6339,1.26B,7.15,19.17,0.48,1.44,1.40,24.35,14.54,42.20%,-26.67%,64.00%,15.00%,1.10%,84.34,0.54%,87788,6339,1.26B,14.79M,14.22M,1.90%,-2.05%,80.10%,-1.22%,1.35%,2.62,73.07K,84.34,0.54%,87788,6339,-1.78%,1.88%,1.19%,16.57%,8.69%,8.27%,1.46%,2.12%,-,73.07K,1.20,84.34,0.54%,87788,6339,0.30,1.74,-1.38%,-0.50%,8.44%,-4.14%,26.50%,47.62,84.34,0.54%,0.61%,-0.07%,87788
0,6340,SAGE,"Sage Therapeutics, Inc.",Healthcare,Biotechnology,USA,3.89B,6.12,67.61,1.58%,251091,6340,3.89B,-,43.90%,46.60%,28.80%,33.10,33.10,0.00,0.00,99.90%,56.70%,57.20%,May 04/b,67.61,1.58%,251091,6340,3.89B,6.12,-,0.15,3.50,1.97,1.94,-,185.50%,19.90%,39.90%,41.10%,-,67.61,1.58%,251091,6340,3.89B,58.37M,51.28M,0.20%,0.00%,92.20%,-0.87%,8.37%,8.95,479.20K,67.61,1.58%,251091,6340,-5.78%,-4.51%,-12.17%,-1.40%,92.24%,-21.85%,3.47%,4.29%,1.90,479.20K,0.52,67.61,1.58%,251091,6340,2.01,2.97,-5.55%,-8.44%,-7.88%,-31.28%,96.71%,40.28,67.61,1.58%,0.91%,0.66%,251091
1,6341,SAH,"Sonic Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.00B,10.21,47.63,-1.18%,232001,6341,2.00B,1.01%,5.60%,25.60%,0.60%,1.00,0.30,0.85,2.43,14.40%,3.40%,2.00%,Apr 29/b,47.63,-1.18%,232001,6341,2.00B,10.21,8.69,18.57,0.20,2.39,25.97,8.85,-136.10%,8.04%,-21.90%,0.55%,0.30%,47.63,-1.18%,232001,6341,2.00B,41.54M,21.93M,9.30%,-7.62%,81.00%,-2.71%,15.30%,12.94,259.42K,47.63,-1.18%,232001,6341,-2.64%,-8.23%,-0.36%,12.95%,65.38%,23.49%,4.26%,3.46%,2.00,259.42K,0.89,47.63,-1.18%,232001,6341,2.58,1.89,-3.59%,-4.45%,6.76%,-15.05%,80.96%,43.80,47.63,-1.18%,-1.63%,0.46%,232001
2,6342,SAIA,"Saia, Inc.",Industrials,Trucking,USA,5.72B,37.95,210.20,-3.23%,434073,6342,5.72B,-,9.40%,15.70%,13.80%,1.10,1.10,0.05,0.07,75.40%,10.20%,7.90%,Apr 28/b,210.20,-3.23%,434073,6342,5.72B,37.95,24.86,1.60,3.08,5.54,107.31,33.70,20.90%,19.49%,19.20%,23.70%,8.30%,210.20,-3.23%,434073,6342,5.72B,26.29M,26.16M,0.30%,-42.46%,-,1.06%,2.70%,3.91,180.34K,210.20,-3.23%,434073,6342,-8.35%,-11.72%,2.42%,20.44%,87.56%,16.26%,3.97%,3.49%,2.60,180.34K,2.41,210.20,-3.23%,434073,6342,1.26,8.08,-9.41%,-9.99%,12.66%,-15.68%,109.38%,34.10,210.20,-3.23%,-2.84%,-0.40%,434073
3,6343,SAIC,Science Applications International Corporation,Technology,Information Technology Services,USA,5.32B,21.71,93.84,2.21%,559507,6343,5.32B,1.58%,4.30%,16.80%,8.10%,1.00,-,1.52,1.58,11.50%,6.20%,3.50%,Jun 03/a,93.84,2.21%,559507,6343,5.32B,21.71,13.66,4.10,0.74,3.46,20.39,11.99,-7.00%,8.60%,7.60%,5.30%,10.30%,93.84,2.21%,559507,6343,5.32B,58.10M,57.39M,0.40%,-1.86%,78.20%,0.02%,1.49%,1.80,475.56K,93.84,2.21%,559507,6343,5.50%,5.15%,6.32%,-0.34%,4.87%,-0.85%,2.35%,1.92%,2.10,475.56K,1.18,93.84,2.21%,559507,6343,0.90,1.83,5.27%,6.73%,5.92%,-9.73%,36.47%,69.10,93.84,2.21%,0.63%,1.57%,559507
4,6344,SAII,Software Acquisition Group Inc. II,Financial,Shell Companies,USA,213.94M,-,9.96,0.40%,38113,6344,213.94M,-,-,-,-,3.10,3.10,0.00,0.00,-,-,-,-,9.96,0.40%,38113,6344,213.94M,-,-,-,-,1.48,356.57,-,-,-,-,-,-,9.96,0.40%,38113,6344,213.94M,21.56M,6.44M,37.68%,128.92%,34.60%,-41.02%,3.13%,0.89,226.24K,9.96,0.40%,38113,6344,0.61%,-0.50%,-3.49%,1.32%,-,0.10%,0.78%,0.80%,-,226.24K,0.17,9.96,0.40%,38113,6344,-,0.07,0.31%,-0.55%,-2.05%,-14.14%,3.21%,49.49,9.96,0.40%,0.40%,0.00%,38113
5,6345,SAIL,"SailPoint Technologies Holdings, Inc.",Technology,Software - Infrastructure,USA,3.96B,-,42.73,-0.47%,1060305,6345,3.96B,-,-1.70%,-4.00%,0.70%,1.00,1.00,0.00,0.97,77.30%,-2.50%,-4.60%,May 10/a,42.73,-0.47%,1060305,6345,3.96B,-,-,-,10.41,9.87,9.52,159.82,-24.40%,77.80%,30.60%,15.00%,30.80%,42.73,-0.47%,1060305,6345,3.96B,91.68M,90.13M,2.00%,-20.32%,-,0.44%,9.11%,7.08,1.16M,42.73,-0.47%,1060305,6345,-10.23%,-10.53%,-18.13%,-7.07%,90.93%,-19.74%,3.23%,4.39%,1.80,1.16M,0.91,42.73,-0.47%,1060305,6345,1.89,1.81,-5.20%,-10.85%,-12.04%,-33.43%,93.35%,35.72,42.73,-0.47%,-1.18%,0.72%,1060305
6,6346,SAL,"Salisbury Bancorp, Inc.",Financial,Banks - Regional,USA,134.79M,9.41,47.63,0.53%,10351,6346,134.79M,2.52%,-,-,22.40%,-,-,0.28,0.28,-,-,-,Apr 21,47.63,0.53%,10351,6346,134.79M,9.41,8.59,-,3.08,1.05,0.83,-,6.80%,1.65%,6.80%,-,4.60%,47.63,0.53%,10351,6346,134.79M,2.81M,2.60M,7.50%,0.13%,24.00%,2.10%,2.42%,6.11,10.31K,47.63,0.53%,10351,6346,2.63%,1.13%,6.79%,25.01%,31.65%,27.80%,3.06%,2.92%,1.50,10.31K,1.00,47.63,0.53%,10351,6346,0.82,1.62,3.00%,5.92%,19.79%,-8.99%,57.09%,60.67,47.63,0.53%,-0.02%,0.55%,10351
7,6347,SALM,"Salem Media Group, Inc.",Communication Services,Broadcasting,USA,69.60M,48.15,2.60,0.39%,172854,6347,69.60M,-,0.30%,1.10%,-10.70%,1.20,1.20,1.65,1.66,19.50%,6.20%,0.60%,May 06/a,2.60,0.39%,172854,6347,69.60M,48.15,10.40,6.88,0.29,0.51,2.97,2.89,-92.90%,47.06%,-46.30%,7.00%,-2.30%,2.60,0.39%,172854,6347,69.60M,26.74M,11.21M,0.20%,-40.98%,16.00%,19.07%,4.18%,1.11,423.93K,2.60,0.39%,172854,6347,29.35%,33.33%,-3.70%,134.23%,152.43%,150.00%,12.18%,8.93%,1.50,423.93K,0.41,2.60,0.39%,172854,6347,1.45,0.19,28.87%,16.36%,54.72%,-34.09%,232.14%,71.32,2.60,0.39%,0.00%,0.39%,172854
8,6348,SAM,"The Boston Beer Company, Inc.",Consumer Defensive,Beverages - Brewers,USA,13.51B,59.52,1106.29,0.66%,251295,6348,13.51B,-,-,-,18.70%,1.70,1.10,0.00,0.00,47.20%,-,-,Apr 22/a,1106.29,0.66%,251295,6348,13.51B,59.52,32.98,1.58,6.92,13.20,93.35,-,73.10%,31.57%,15.00%,37.58%,12.60%,1106.29,0.66%,251295,6348,13.51B,12.27M,9.18M,2.20%,-32.46%,88.40%,1.74%,9.79%,5.87,153.06K,1106.29,0.66%,251295,6348,7.36%,0.65%,1.65%,20.13%,109.50%,11.26%,3.52%,4.05%,2.50,153.06K,1.64,1106.29,0.66%,251295,6348,0.79,43.89,2.56%,-4.73%,8.77%,-18.05%,122.02%,50.52,1106.29,0.66%,-0.08%,0.75%,251295
9,6349,SAMG,Silvercrest Asset Management Group Inc.,Financial,Asset Management,USA,250.54M,23.27,16.94,-2.31%,32674,6349,250.54M,3.78%,3.50%,9.90%,20.20%,-,-,0.17,0.17,-,13.80%,6.30%,May 07/b,16.94,-2.31%,32674,6349,250.54M,23.27,8.87,2.13,2.26,2.28,5.88,12.72,6.60%,10.85%,9.10%,10.90%,7.50%,16.94,-2.31%,32674,6349,250.54M,9.65M,8.19M,0.40%,0.00%,74.70%,3.80%,3.00%,5.21,47.15K,16.94,-2.31%,32674,6349,7.56%,18.79%,12.93%,24.47%,39.54%,21.96%,5.66%,4.36%,1.50,47.15K,0.69,16.94,-2.31%,32674,6349,0.73,0.68,14.44%,15.66%,24.47%,-4.08%,80.02%,70.11,16.94,-2.31%,-1.97%,-0.35%,32674
10,6350,SAN,"Banco Santander, S.A.",Financial,Banks - Diversified,Spain,73.23B,-,4.23,-1.17%,1852486,6350,73.23B,0.71%,-0.50%,-9.10%,4.40%,-,-,2.97,2.97,-,48.60%,-17.30%,-,4.23,-1.17%,1852486,6350,73.23B,-,10.79,-,1.40,0.73,0.17,-,-232.90%,20.62%,-27.50%,-13.48%,-4.40%,4.23,-1.17%,1852486,6350,73.23B,17.31B,17.12B,21.00%,0.00%,1.80%,13.61%,0.05%,1.55,5.14M,4.23,-1.17%,1852486,6350,0.24%,10.16%,14.95%,32.19%,71.60%,38.69%,1.12%,1.68%,4.00,5.14M,0.36,4.23,-1.17%,1852486,6350,1.31,0.08,3.78%,12.87%,41.91%,-1.40%,151.62%,69.94,4.23,-1.17%,-0.24%,-0.93%,1852486
11,6351,SANA,"Sana Biotechnology, Inc.",Healthcare,Biotechnology,USA,3.94B,-,21.06,0.29%,201906,6351,3.94B,-,-,-,-,27.50,27.50,0.00,0.00,-,-,-,-,21.06,0.29%,201906,6351,3.94B,-,-,-,-,2.85,4.10,-,-118.20%,6.80%,-,-,-,21.06,0.29%,201906,6351,3.94B,119.13M,85.86M,11.80%,0.00%,48.20%,-,3.93%,7.35,458.81K,21.06,0.29%,201906,6351,-1.31%,26.33%,-11.88%,-,-,-40.00%,4.70%,6.82%,2.20,458.81K,0.44,21.06,0.29%,201906,6351,-,1.30,6.16%,-12.45%,-23.43%,-52.78%,29.36%,48.12,21.06,0.29%,-0.14%,0.43%,201906
12,6352,SAND,Sandstorm Gold Ltd.,Basic Materials,Gold,Canada,1.67B,57.27,8.59,2.26%,839127,6352,1.67B,-,-,-,-,-,-,-,-,-,-,-,Apr 29/b,8.59,2.26%,839127,6352,1.67B,57.27,107.38,-,16.28,2.68,-,-,40.00%,14.30%,1.37%,-,-,8.59,2.26%,839127,6352,1.67B,194.57M,192.00M,1.57%,0.00%,48.30%,-,2.63%,2.83,1.79M,8.59,2.26%,839127,6352,1.54%,11.13%,35.28%,13.03%,3.25%,19.80%,2.79%,3.25%,2.20,1.79M,0.47,8.59,2.26%,839127,6352,-,0.26,2.90%,10.33%,12.44%,-19.19%,44.13%,59.27,8.59,2.26%,1.30%,0.95%,839127
13,6353,SANM,Sanmina Corporation,Technology,Electronic Components,USA,2.74B,15.09,42.51,1.12%,200438,6353,2.74B,-,4.90%,11.40%,8.40%,2.00,1.50,0.18,0.20,8.10%,4.10%,2.70%,May 03/a,42.51,1.12%,200438,6353,2.74B,15.09,10.37,-,0.39,1.60,-,11.39,0.00%,4.06%,-14.80%,-1.50%,1.80%,42.51,1.12%,200438,6353,2.74B,65.25M,63.63M,2.10%,-3.23%,98.00%,2.24%,3.66%,6.28,370.57K,42.51,1.12%,200438,6353,0.26%,3.00%,11.52%,30.60%,51.71%,33.30%,1.39%,2.08%,2.20,370.57K,0.54,42.51,1.12%,200438,6353,1.12,0.88,1.41%,2.16%,25.09%,-1.96%,78.99%,56.53,42.51,1.12%,0.62%,0.50%,200438
14,6354,SANW,S&W Seed Company,Consumer Defensive,Farm Products,USA,131.91M,-,3.65,1.67%,8288,6354,131.91M,-,-14.20%,-30.10%,-13.90%,1.40,0.40,0.16,0.68,15.20%,-22.30%,-25.60%,May 13/b,3.65,1.67%,8288,6354,131.91M,-,-,-,1.51,1.80,38.80,-,-90.90%,42.10%,-19.00%,15.00%,-0.40%,3.65,1.67%,8288,6354,131.91M,34.95M,13.82M,2.80%,-0.34%,70.40%,-0.28%,0.27%,0.42,88.16K,3.65,1.67%,8288,6354,2.82%,-8.29%,5.49%,40.38%,63.68%,24.57%,2.76%,4.08%,2.00,88.16K,0.09,3.65,1.67%,8288,6354,0.69,0.14,-0.60%,-2.78%,16.38%,-16.28%,72.17%,47.89,3.65,1.67%,1.11%,0.56%,8288
15,6355,SAP,SAP SE,Technology,Software - Application,Germany,170.24B,25.34,139.88,1.48%,234128,6355,170.24B,1.57%,8.80%,17.70%,10.40%,1.20,1.20,0.37,0.51,72.50%,23.50%,19.80%,Apr 22/b,139.88,1.48%,234128,6355,170.24B,25.34,22.30,3.05,5.17,4.06,11.96,21.09,56.50%,0.74%,11.20%,8.30%,5.60%,139.88,1.48%,234128,6355,170.24B,1.18B,1.11B,25.50%,0.00%,4.60%,9.44%,0.21%,2.72,840.99K,139.88,1.48%,234128,6355,1.11%,1.25%,13.65%,14.19%,4.12%,7.28%,0.87%,1.08%,2.40,840.99K,0.28,139.88,1.48%,234128,6355,1.07,2.20,0.56%,2.61%,3.42%,-17.38%,33.68%,53.02,139.88,1.48%,0.59%,0.89%,234128
16,6356,SAR,Saratoga Investment Corp.,Financial,Asset Management,USA,294.25M,19.90,26.39,0.46%,18644,6356,294.25M,6.52%,2.60%,5.00%,3.30%,-,-,0.92,0.92,49.20%,40.00%,25.60%,May 05/a,26.39,0.46%,18644,6356,294.25M,19.90,12.39,-,5.10,0.97,9.84,-,-77.90%,3.80%,-8.70%,-,13.90%,26.39,0.46%,18644,6356,294.25M,11.16M,7.98M,6.40%,0.00%,22.50%,-1.80%,0.46%,0.77,47.11K,26.39,0.46%,18644,6356,3.57%,3.17%,15.90%,18.77%,65.04%,26.57%,1.57%,1.89%,1.50,47.11K,0.40,26.39,0.46%,18644,6356,1.72,0.45,4.80%,4.65%,21.64%,-1.09%,75.93%,65.87,26.39,0.46%,-0.23%,0.69%,18644
17,6357,SASR,"Sandy Spring Bancorp, Inc.",Financial,Banks - Regional,USA,2.23B,14.23,47.28,0.13%,82686,6357,2.23B,2.71%,-,-,14.70%,-,-,0.15,0.15,-,-,-,Apr 22/b,47.28,0.13%,82686,6357,2.23B,14.23,12.88,1.53,4.92,1.47,9.76,-,-32.90%,-24.80%,3.50%,9.30%,21.80%,47.28,0.13%,82686,6357,2.23B,47.12M,45.92M,2.70%,0.00%,67.10%,2.29%,1.34%,3.56,173.09K,47.28,0.13%,82686,6357,1.70%,0.66%,17.93%,55.83%,76.91%,46.88%,2.10%,2.64%,2.40,173.09K,0.48,47.28,0.13%,82686,6357,1.16,1.19,1.24%,4.95%,37.65%,-1.94%,123.95%,57.88,47.28,0.13%,-0.02%,0.15%,82686
18,6358,SATS,EchoStar Corporation,Technology,Communication Equipment,USA,2.53B,28.07,27.51,-1.33%,261993,6358,2.53B,-,1.30%,2.60%,1.50%,2.00,2.00,0.43,0.66,61.60%,8.20%,4.90%,May 06/b,27.51,-1.33%,261993,6358,2.53B,28.07,257.10,5.61,1.33,0.74,1.09,26.21,61.20%,-91.05%,-18.90%,5.00%,0.40%,27.51,-1.33%,261993,6358,2.53B,93.87M,40.37M,0.80%,2.79%,95.60%,-3.32%,15.16%,9.26,660.89K,27.51,-1.33%,261993,6358,2.84%,17.21%,3.27%,17.11%,-17.51%,29.83%,3.02%,3.24%,2.30,660.89K,0.40,27.51,-1.33%,261993,6358,0.71,0.85,3.66%,9.38%,10.62%,-22.13%,39.29%,61.15,27.51,-1.33%,-1.43%,0.11%,261993
19,6359,SAVA,"Cassava Sciences, Inc.",Healthcare,Biotechnology,USA,2.48B,-,64.16,3.38%,1508045,6359,2.48B,-,-8.10%,-8.30%,-,107.10,107.10,0.00,0.00,-,-,-,Apr 21/b,64.16,3.38%,1508045,6359,2.48B,-,-,-,-,8.61,8.80,-,8.80%,-820.00%,35.40%,-,-,64.16,3.38%,1508045,6359,2.48B,37.72M,37.41M,5.20%,0.00%,27.50%,5.91%,9.27%,1.96,1.77M,64.16,3.38%,1508045,6359,15.40%,52.69%,47.80%,777.70%,2312.03%,840.76%,7.59%,9.06%,2.00,1.77M,0.85,64.16,3.38%,1508045,6359,1.10,4.20,34.86%,45.97%,153.04%,-45.41%,2714.04%,76.57,64.16,3.38%,2.26%,1.10%,1508045
0,6360,SAVE,"Spirit Airlines, Inc.",Industrials,Airlines,USA,3.87B,-,35.33,-1.15%,2043826,6360,3.87B,-,-6.20%,-22.60%,-6.50%,1.50,1.50,1.46,1.63,-23.00%,-36.80%,-34.20%,Apr 21/a,35.33,-1.15%,2043826,6360,3.87B,-,19.63,-,2.58,1.65,2.06,-,-217.10%,151.10%,-27.00%,-,-3.30%,35.33,-1.15%,2043826,6360,3.87B,97.78M,97.46M,0.60%,-3.91%,63.90%,13.31%,7.06%,1.77,3.89M,35.33,-1.15%,2043826,6360,-1.92%,2.38%,2.64%,52.81%,68.08%,44.50%,2.57%,3.31%,2.60,3.89M,0.53,35.33,-1.15%,2043826,6360,1.72,1.16,0.63%,-1.65%,30.90%,-13.34%,141.16%,48.69,35.33,-1.15%,-1.53%,0.39%,2043826
1,6361,SB,"Safe Bulkers, Inc.",Industrials,Marine Shipping,Monaco,391.81M,60.33,3.68,0.27%,2355468,6361,391.81M,-,0.60%,1.40%,1.00%,1.20,-,1.07,1.26,52.10%,19.30%,3.00%,May 05/a,3.68,0.27%,2355468,6361,391.81M,60.33,4.25,4.31,1.82,0.80,3.47,3.93,-677.80%,-3.88%,19.80%,14.00%,9.30%,3.68,0.27%,2355468,6361,391.81M,103.36M,50.98M,67.90%,0.00%,17.10%,39.80%,1.75%,0.57,1.57M,3.68,0.27%,2355468,6361,-0.54%,-8.46%,33.82%,217.24%,228.57%,183.08%,5.26%,7.70%,2.50,1.57M,1.50,3.68,0.27%,2355468,6361,0.82,0.31,-6.58%,14.30%,87.92%,-17.49%,347.04%,49.71,3.68,0.27%,-0.54%,0.82%,2355468
2,6362,SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,USA,33.83B,263.91,312.73,1.07%,411001,6362,33.83B,0.74%,1.50%,-3.00%,10.50%,0.70,0.70,-,-,76.80%,30.30%,6.60%,Apr 26/a,312.73,1.07%,411001,6362,33.83B,263.91,88.12,-,16.00,-,-,42.23,-83.40%,60.01%,16.60%,-,4.90%,312.73,1.07%,411001,6362,33.83B,109.47M,108.12M,0.50%,-1.27%,97.10%,-0.46%,1.53%,2.44,676.93K,312.73,1.07%,411001,6362,5.25%,6.29%,29.13%,9.93%,4.04%,10.85%,1.84%,2.06%,1.90,676.93K,0.61,312.73,1.07%,411001,6362,0.20,5.97,6.29%,7.85%,9.08%,-4.76%,34.29%,73.68,312.73,1.07%,0.64%,0.42%,411001
3,6363,SBB,ProShares Short SmallCap600,Financial,Exchange Traded Fund,USA,-,-,17.18,-0.26%,2741,6363,-,-,-,-,-,-,-,-,-,-,-,-,-,17.18,-0.26%,2741,6363,-,-,-,-,-,-,-,-,-,-,-,-,-,17.18,-0.26%,2741,6363,-,-,-,-,-,-,-,-,-,2.89K,17.18,-0.26%,2741,6363,-0.62%,-2.91%,-7.70%,-26.76%,-43.35%,-21.72%,0.45%,0.93%,-,2.89K,0.95,17.18,-0.26%,2741,6363,-,0.21,-2.52%,-3.67%,-22.65%,-47.87%,0.80%,40.61,17.18,-0.26%,-0.60%,0.35%,2741
4,6364,SBBP,Strongbridge Biopharma plc,Healthcare,Biotechnology,USA,200.71M,-,2.94,-1.01%,2614209,6364,200.71M,-,-39.80%,-72.50%,-52.20%,3.60,3.60,0.31,0.00,94.90%,-,-,May 12/b,2.94,-1.01%,2614209,6364,200.71M,-,-,-,6.19,3.54,-,-,14.80%,69.20%,21.60%,20.00%,-,2.94,-1.01%,2614209,6364,200.71M,67.38M,59.82M,3.50%,0.00%,62.40%,-11.09%,2.62%,1.15,1.36M,2.94,-1.01%,2614209,6364,11.79%,20.49%,5.76%,7.30%,-12.50%,20.99%,9.82%,6.09%,1.80,1.36M,1.93,2.94,-1.01%,2614209,6364,1.56,0.17,18.64%,15.20%,8.44%,-36.50%,57.22%,66.52,2.94,-1.01%,-3.29%,2.36%,2614209
5,6365,SBCF,Seacoast Banking Corporation of Florida,Financial,Banks - Regional,USA,2.06B,18.49,37.28,0.27%,124914,6365,2.06B,0.35%,1.30%,10.00%,16.80%,-,-,0.06,0.06,-,92.90%,39.10%,Apr 22/a,37.28,0.27%,124914,6365,2.06B,18.49,18.19,2.05,7.25,1.78,2.10,25.16,-24.00%,-0.68%,17.10%,9.00%,19.80%,37.28,0.27%,124914,6365,2.06B,55.27M,54.28M,1.80%,-0.84%,89.30%,1.45%,2.33%,5.76,219.85K,37.28,0.27%,124914,6365,-0.24%,-2.48%,-2.20%,41.05%,59.86%,26.59%,2.58%,3.05%,2.50,219.85K,0.57,37.28,0.27%,124914,6365,1.35,1.08,-0.35%,1.33%,26.46%,-8.92%,119.29%,50.75,37.28,0.27%,0.54%,-0.27%,124914
6,6366,SBEAU,SilverBox Engaged Merger Corp I,Financial,Shell Companies,USA,-,-,9.96,-0.20%,10,6366,-,-,-,-,-,-,-,-,-,-,-,-,-,9.96,-0.20%,10,6366,-,-,-,-,-,-,-,-,-,-,-,-,-,9.96,-0.20%,10,6366,-,-,-,-,-,6.30%,-,-,0.03,125.04K,9.96,-0.20%,10,6366,0.10%,-0.50%,-1.39%,-,-,-1.09%,0.28%,0.28%,-,125.04K,0.00,9.96,-0.20%,10,6366,-,0.04,-0.48%,-0.29%,-0.40%,-3.30%,2.47%,43.83,9.96,-0.20%,0.00%,-0.20%,10
7,6367,SBFG,"SB Financial Group, Inc.",Financial,Banks - Regional,USA,142.45M,6.92,19.73,0.10%,61923,6367,142.45M,2.23%,1.70%,15.10%,21.20%,-,-,0.07,0.07,-,86.70%,50.00%,Apr 30/a,19.73,0.10%,61923,6367,142.45M,6.92,11.54,-,3.34,1.00,0.66,6.17,40.90%,-25.65%,13.50%,-,10.50%,19.73,0.10%,61923,6367,142.45M,7.32M,6.53M,2.50%,0.00%,51.30%,2.24%,3.29%,9.82,21.92K,19.73,0.10%,61923,6367,-1.35%,9.55%,1.49%,6.71%,26.80%,7.93%,1.94%,2.21%,-,21.92K,2.82,19.73,0.10%,61923,6367,1.23,0.40,4.12%,7.43%,14.44%,-1.35%,64.21%,63.46,19.73,0.10%,0.56%,-0.46%,61923
8,6368,SBG,Sandbridge Acquisition Corporation,Financial,Shell Companies,USA,286.45M,-,9.96,0.00%,24294,6368,286.45M,-,-,-,-,0.30,0.30,0.00,0.00,-,-,-,-,9.96,0.00%,24294,6368,286.45M,-,-,-,-,1.42,358.06,-,-,-,-,-,-,9.96,0.00%,24294,6368,286.45M,28.75M,23.00M,-,-,73.10%,60.82%,4.73%,4.90,221.83K,9.96,0.00%,24294,6368,0.30%,-0.20%,-0.90%,1.91%,-,-2.06%,0.31%,0.45%,-,221.83K,0.11,9.96,0.00%,24294,6368,-,0.05,-0.12%,0.20%,-0.89%,-13.84%,3.32%,49.15,9.96,0.00%,0.10%,-0.10%,24294
9,6369,SBGI,"Sinclair Broadcast Group, Inc.",Communication Services,Broadcasting,USA,2.54B,-,33.43,-0.86%,397199,6369,2.54B,2.39%,-18.30%,380.30%,-18.80%,3.20,3.20,-,-,49.90%,-52.60%,-43.60%,May 05/b,33.43,-0.86%,397199,6369,2.54B,-,192.13,-,0.43,-,2.70,2.13,84.40%,103.60%,-1.14%,1.60%,21.80%,33.43,-0.86%,397199,6369,2.54B,74.39M,47.62M,3.30%,-24.96%,84.80%,-5.29%,8.27%,6.19,636.53K,33.43,-0.86%,397199,6369,-2.73%,2.51%,-8.18%,16.40%,52.44%,4.96%,2.85%,3.51%,2.70,636.53K,0.62,33.43,-0.86%,397199,6369,1.65,1.18,1.02%,5.39%,19.21%,-15.58%,102.61%,52.97,33.43,-0.86%,-1.21%,0.36%,397199
10,6370,SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,Specialty Retail,USA,2.41B,16.02,20.04,-6.22%,1461994,6370,2.41B,-,4.70%,315.90%,11.70%,1.70,0.60,10.31,11.77,49.60%,8.50%,4.00%,May 06/b,20.04,-6.22%,1461994,6370,2.41B,16.02,8.41,0.54,0.68,16.70,5.91,5.80,-55.80%,4.75%,-7.80%,29.90%,-1.70%,20.04,-6.22%,1461994,6370,2.41B,112.60M,111.55M,0.50%,-0.88%,-,-4.49%,9.16%,6.78,1.51M,20.04,-6.22%,1461994,6370,-7.78%,-1.09%,9.75%,72.16%,31.24%,53.68%,4.64%,4.34%,3.10,1.51M,0.97,20.04,-6.22%,1461994,6370,1.64,0.98,-10.96%,-4.96%,34.54%,-21.90%,142.18%,39.87,20.04,-6.22%,-6.70%,0.51%,1461994
11,6371,SBI,Western Asset Intermediate Muni Fund Inc.,Financial,Asset Management,USA,135.05M,32.84,9.59,-0.10%,22618,6371,135.05M,2.92%,-,-,-,-,-,-,-,-,-,-,-,9.59,-0.10%,22618,6371,135.05M,32.84,-,-,21.34,0.94,-,-,-,-,-,-,-,9.59,-0.10%,22618,6371,135.05M,14.08M,-,-,-,39.56%,-,-,0.26,18.41K,9.59,-0.10%,22618,6371,0.21%,0.66%,5.15%,5.27%,11.51%,4.24%,0.97%,0.84%,-,18.41K,1.23,9.59,-0.10%,22618,6371,-,0.08,0.41%,1.28%,4.22%,-1.03%,13.42%,55.28,9.59,-0.10%,-0.31%,0.21%,22618
